target,lag_months,correlation,p_value,n
WTI_YoY,0,0.35768822805016626,1.9001525330384617e-09,266
WTI_YoY,1,0.4295050045905277,2.293871124510662e-13,266
WTI_YoY,2,0.4918510191457302,1.504680568100181e-17,265
WTI_YoY,3,0.5257692286698222,3.62300729180857e-20,264
WTI_YoY,4,0.5321138882633321,1.2499306337322885e-20,263
WTI_YoY,5,0.5109012586269167,8.005105867265936e-19,262
WTI_YoY,6,0.4753866544430768,4.02532488031064e-16,261
WTI_YoY,7,0.4364251657315184,1.626410351478993e-13,260
WTI_YoY,8,0.39520632368139563,4.108319613930143e-11,259
WTI_YoY,9,0.35059692711592744,7.086611574329253e-09,258
WTI_YoY,10,0.3135042340508704,2.87750994829868e-07,257
WTI_YoY,11,0.27442369463336935,8.384746332611924e-06,256
WTI_YoY,12,0.23292459762602985,0.00017474224438251344,255
WTI_YoY,13,0.19859115977974018,0.0014668910563663934,254
WTI_YoY,14,0.17019271905558842,0.0066576524284956366,253
WTI_YoY,15,0.15222847489251168,0.015578197411624925,252
WTI_YoY,16,0.14747020270492414,0.019413208150312753,251
WTI_YoY,17,0.1506111685178272,0.01717002571544054,250
WTI_YoY,18,0.1503310603923032,0.0176083077428566,249
Brent_YoY,0,0.35435823333409955,2.7434363146591677e-09,266
Brent_YoY,1,0.4257838166209544,3.8680685956970753e-13,266
Brent_YoY,2,0.48647592823228,3.7745046400248607e-17,265
Brent_YoY,3,0.5185949072362589,1.4157185423863543e-19,264
Brent_YoY,4,0.5226942846644282,7.666352112333836e-20,263
Brent_YoY,5,0.49981635814380987,5.78316811866843e-18,262
Brent_YoY,6,0.4648128182801522,2.147953424781153e-15,261
Brent_YoY,7,0.4281979010082656,5.120599846096433e-13,260
Brent_YoY,8,0.3898715123918392,7.863369660370521e-11,259
Brent_YoY,9,0.3540303390794192,4.930537342680422e-09,258
Brent_YoY,10,0.32461903831818506,1.0176976106190037e-07,257
Brent_YoY,11,0.29082721120793753,2.2104265929153495e-06,256
Brent_YoY,12,0.24980900382954158,5.491305472334401e-05,255
Brent_YoY,13,0.2142445606178244,0.0005867702687976275,254
Brent_YoY,14,0.189589734457533,0.0024602529379020317,253
Brent_YoY,15,0.17820120591957356,0.004546277599355961,252
Brent_YoY,16,0.17691064165165554,0.004938665460159999,251
Brent_YoY,17,0.1829813133561151,0.003693224703304809,250
Brent_YoY,18,0.18231383192212933,0.0038940456489875994,249
