layer,indicator_id,indicator,latest_value,previous_value,change,historical_percentile,direction,source_date,update_frequency,interpretation,confirming_indicators,conflicting_indicators,confidence_level,evidence_label
Physical energy conditions,petroleum_production_YoY,Petroleum production growth,2.0131014872571518,0.8920649794502467,1.1210365078069051,65.75052854122622,stress easing or mixed,2026-05,monthly,Petroleum production growth is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Petroleum consumption; inventories,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Physical energy conditions,petroleum_consumption_YoY,Petroleum consumption growth,1.7632963316127848,5.090523174014594,-3.327226842401809,64.11889596602973,stress increasing,2026-03,monthly,Petroleum consumption growth is in its mid-range historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Industrial production; oil burden,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Physical energy conditions,oil_consumption_per_person_mmbtu,Oil consumption per person,8.761892670455042,8.226378579080567,0.5355140913744751,10.351966873706004,stress easing or mixed,2026-03,monthly,Oil consumption per person is in its low historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Real spending; petroleum consumption,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Physical energy conditions,CI_zscore,Comparative inventory z-score,-1.3818358591603184,-0.29392817729373444,-1.087907681866584,14.346895074946467,stress increasing,2026-06,monthly,Comparative inventory z-score is in its low historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Crude stocks; refinery utilization,Review other indicators in the same layer; no single reading determines the state.,high,Contextual indicator
Physical energy conditions,refinery_utilization_pct,Refinery utilization,96.0,96.175,-0.17499999999999716,94.87179487179488,stress easing or mixed,2026-07,monthly,Refinery utilization is in its high historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Product inventories; crack spreads,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,real_WTI_YoY,Real WTI growth,57.71665447640888,52.13815876551675,5.578495710892128,92.58474576271186,stress increasing,2026-05,monthly,Real WTI growth is in its high historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Energy CPI; household burden,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,household_energy_expenditure_share,Household energy expenditure share,3.8415843258624114,3.7437890909400555,0.09779523492235587,22.68041237113402,stress increasing,2026-05,monthly,Household energy expenditure share is in its mid-range historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Real income; energy CPI,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,energy_expenditure_share_gdp,Energy expenditure share of GDP,2.851339845723246,2.759391510394508,0.09194833532873803,23.09278350515464,stress increasing,2026-05,quarterly,Energy expenditure share of GDP is in its mid-range historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Industrial output; real GDP,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,energy_CPI_YoY,Energy CPI growth,15.45137005619075,22.972869920145843,-7.521499863955093,84.14376321353066,stress easing or mixed,2026-06,monthly,Energy CPI growth is in its high historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Real wages; consumer sentiment,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,real_disposable_income_YoY,Real disposable income growth,0.016128224949785164,-1.0704299918931959,1.086558216842981,8.24524312896406,stress easing or mixed,2026-05,monthly,Real disposable income growth is in its low historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Real spending; wages,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,fed_funds_rate,Federal funds rate,3.63,3.63,0.0,51.440329218106996,stress easing or mixed,2026-06,monthly,Federal funds rate is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Credit standards; GM2,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,credit_tightening_pct,Credit tightening,8.1,8.1,0.0,65.59633027522936,stress easing or mixed,2026-07,quarterly,Credit tightening is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Investment; delinquency,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Energy affordability and financial conditions,GM2_YoY,Global M2 growth,9.587530614971683,9.58551223440458,0.0020183805671027955,71.80451127819549,stress easing or mixed,2026-05,monthly,Global M2 growth is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Oil momentum; credit conditions,Review other indicators in the same layer; no single reading determines the state.,high,Contextual indicator
"Production, consumption, and investment response",Industrial_production_YoY,Industrial production growth,1.6659155850265561,1.365696311304787,0.30021927372176904,40.80338266384778,stress easing or mixed,2026-05,monthly,Industrial production growth is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Manufacturing; energy use,Review other indicators in the same layer; no single reading determines the state.,high,Contextual indicator
"Production, consumption, and investment response",manufacturing_output_YoY,Manufacturing output growth,1.4263503077691864,1.2900256237966312,0.13632468397255515,42.706131078224104,stress easing or mixed,2026-05,monthly,Manufacturing output growth is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Weekly hours; business investment,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
"Production, consumption, and investment response",real_consumer_spending_YoY,Real consumer spending growth,2.1279963954968117,1.7188649532738465,0.40913144222296527,42.081447963800905,stress easing or mixed,2026-05,monthly,Real consumer spending growth is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Income; sentiment,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
"Production, consumption, and investment response",business_investment_YoY,Business investment growth,3.1600857194842735,3.9641791371074486,-0.8040934176231751,30.044843049327355,stress increasing,2026-07,quarterly,Business investment growth is in its mid-range historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Credit standards; GDP,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
"Production, consumption, and investment response",Real_GDP_growth,Real GDP growth,0.6392227956459218,1.7224492591301432,-1.0832264634842215,9.68421052631579,stress increasing,2026-07,quarterly,Real GDP growth is in its low historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Energy consumption; industrial production,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,average_weekly_hours_YoY,Average weekly hours growth,1.4634146341463428,1.4634146341463428,0.0,89.87341772151899,stress easing or mixed,2026-06,monthly,Average weekly hours growth is in its high historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Temporary help; manufacturing,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,temporary_help_YoY,Temporary-help employment growth,-0.2156032899464977,-0.9231626278301652,0.7075593378836675,34.03755868544601,stress easing or mixed,2026-06,monthly,Temporary-help employment growth is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Hours; unemployment,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,full_time_employment_share,Full-time employment share,82.37132081053099,82.43053123713683,-0.05921042660584419,42.2680412371134,stress increasing,2026-06,monthly,Full-time employment share is in its mid-range historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Involuntary part time; prime-age employment,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,involuntary_part_time_share,Involuntary part-time share,2.8848050091209387,2.952000049148804,-0.06719504002786536,22.2680412371134,stress easing or mixed,2026-06,monthly,Involuntary part-time share is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Full-time share; wages,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,prime_age_employment_rate,Prime-age employment rate,80.2,80.8,-0.5999999999999943,77.9381443298969,stress increasing,2026-06,monthly,Prime-age employment rate is in its mid-range historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Unemployment; hours,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,real_wage_growth,Real wage growth,-0.7452646913116867,-0.20024935008672307,-0.5450153412249636,20.0,stress increasing,2026-05,monthly,Real wage growth is in its low historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Energy CPI; sentiment,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,consumer_sentiment,Consumer sentiment,44.8,49.8,-5.0,0.20618556701030927,stress increasing,2026-05,monthly,Consumer sentiment is in its low historical range and is moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Real income; spending,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,credit_card_delinquency_rate,Credit-card delinquency,2.92,2.92,0.0,33.25526932084309,stress easing or mixed,2026-07,quarterly,Credit-card delinquency is in its mid-range historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Credit standards; real income,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
Labour and household consequences,unemployment_rate,Unemployment rate,4.2,4.3,-0.09999999999999964,19.38144329896907,stress easing or mixed,2026-06,monthly,Unemployment rate is in its low historical range and is not moving in the stress-consistent direction. Interpret with confirming and conflicting evidence.,Hours; prime-age employment,Review other indicators in the same layer; no single reading determines the state.,medium,Contextual indicator
