observation_date,CXUSHELTERLB0101M
1984-01-01,3489
1985-01-01,3833
1986-01-01,3979
1987-01-01,4154
1988-01-01,4493
1989-01-01,4835
1990-01-01,4836
1991-01-01,5191
1992-01-01,5411
1993-01-01,5415
1994-01-01,5686
1995-01-01,5928
1996-01-01,6064
1997-01-01,6344
1998-01-01,6680
1999-01-01,7016
2000-01-01,7114
2001-01-01,7602
2002-01-01,7829
2003-01-01,7887
2004-01-01,7998
2005-01-01,8805
2006-01-01,9673
2007-01-01,10023
2008-01-01,10183
2009-01-01,10075
2010-01-01,9812
2011-01-01,9825
2012-01-01,9891
2013-01-01,10080
2014-01-01,10491
2015-01-01,10742
2016-01-01,11128
2017-01-01,11895
2018-01-01,11747
2019-01-01,12190
2020-01-01,12604
2021-01-01,13258
2022-01-01,14507
2023-01-01,15499
2024-01-01,16317
