observation_date,CXUUTILSLB0101M
1984-01-01,1638
1985-01-01,1648
1986-01-01,1645
1987-01-01,1671
1988-01-01,1747
1989-01-01,1835
1990-01-01,1890
1991-01-01,1990
1992-01-01,1984
1993-01-01,2112
1994-01-01,2189
1995-01-01,2191
1996-01-01,2347
1997-01-01,2412
1998-01-01,2405
1999-01-01,2377
2000-01-01,2489
2001-01-01,2767
2002-01-01,2684
2003-01-01,2811
2004-01-01,2927
2005-01-01,3183
2006-01-01,3397
2007-01-01,3477
2008-01-01,3649
2009-01-01,3645
2010-01-01,3660
2011-01-01,3727
2012-01-01,3648
2013-01-01,3737
2014-01-01,3921
2015-01-01,3885
2016-01-01,3884
2017-01-01,3836
2018-01-01,4049
2019-01-01,4055
2020-01-01,4166
2021-01-01,4223
2022-01-01,4549
2023-01-01,4625
2024-01-01,4736
